check_id,result,evidence,owner,notes
PUB-011,PASS,junit:caos.tests.spec.test_deliverables_spec::test_freeze_embeds_selected_revision_outputs_assumptions_and_build_payload_verbatim;junit:caos.tests.spec.test_deliverables_spec::test_freeze_round_trips_on_nothing_but_what_the_draft_wire_serves;junit:caos.tests.spec.test_deliverables_spec::test_no_model_relative_value_freeze_pins_accepted_run_methodology;junit:caos.tests.spec.test_deliverables_spec::test_gate_rejects_source_set_drift_between_freeze_and_filing;junit:caos.tests.spec.test_deliverables_spec::test_freeze_refuses_stored_revision_content_tampered_without_its_indexed_digest;junit:caos.tests.spec.test_deliverables_spec::test_filing_thread_id_is_a_deterministic_digest_including_build_id;junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer;junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed],enterprise test owner,"The frozen payload pins draft id/version/digest, template id and version, accepted snapshot and source set, model identity with the signed revision's outputs and assumptions verbatim, the methodology build id, the opinion, and the cited evidence set (payload['evidence'], asserted present in every format by the goldens); a tampered stored revision or a moved source set is refused."
PUB-012,PASS,junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_deliverables_spec::test_canonical_document_is_the_only_cross_format_export_source;junit:caos.tests.spec.test_deliverables_spec::test_each_pathway_frozen_payload_renders_substantive_md_pdf_xlsx[FULL_CREDIT];junit:caos.tests.spec.test_deliverables_spec::test_each_pathway_frozen_payload_renders_substantive_md_pdf_xlsx[EARNINGS_UPDATE];junit:caos.tests.spec.test_deliverables_spec::test_each_pathway_frozen_payload_renders_substantive_md_pdf_xlsx[COVENANT_REFINANCING];junit:caos.tests.spec.test_deliverables_spec::test_each_pathway_frozen_payload_renders_substantive_md_pdf_xlsx[RELATIVE_VALUE];junit:caos.tests.spec.test_deliverables_spec::test_each_pathway_frozen_payload_renders_substantive_md_pdf_xlsx[DISTRESSED_RESTRUCTURING];junit:caos.tests.spec.test_deliverables_spec::test_each_pathway_frozen_payload_renders_substantive_md_pdf_xlsx[DEEP_RESEARCH];junit:caos.tests.spec.test_publication_spec::test_pdf_glyphs_come_from_the_vendored_font_bundle_alone;junit:caos.tests.spec.test_publication_spec::test_a_divergent_render_for_a_published_identity_is_a_freeze_conflict,enterprise test owner,"Six states render md/pdf/xlsx from one frozen payload and match identifier-normalised goldens; the same payload renders identical PDF bytes twice; every pathway renders all three formats; PDF glyphs come only from the digest-verified vendored DejaVu bundle; a divergent render for a published identity is DELIVERABLE_FREEZE_CONFLICT. The retained backend gate ran on the developer host, not inside the worker image, so on-image determinism is not retained for this candidate."
PUB-013,PASS,junit:caos.tests.spec.test_publication_spec::test_freeze_is_a_worker_job_and_the_frozen_record_exists_only_after_verified_publication;junit:caos.tests.spec.test_publication_spec::test_a_divergent_render_for_a_published_identity_is_a_freeze_conflict;junit:caos.tests.spec.test_deliverables_spec::test_freeze_retry_recovers_after_files_publish_but_before_record_commit;junit:caos.tests.spec.test_deliverables_spec::test_freeze_is_idempotent_under_race_with_one_record_one_thread_one_audit_event,enterprise test owner,"The FROZEN record and deliverable.frozen event exist only after every export is published hash-addressed and read back with its digest and size verified; a retry after publish-but-before-commit converges on the same record. Exercised in-process through run_pending_freezes, not through the worker container on the image."
PUB-014,PASS,junit:caos.tests.spec.test_publication_spec::test_a_rendering_failure_leaves_a_typed_failed_job_and_no_frozen_record;junit:caos.tests.spec.test_publication_spec::test_a_font_bundle_that_fails_verification_refuses_to_render;junit:caos.tests.spec.test_deliverables_spec::test_filing_refuses_a_missing_frozen_export_and_keeps_the_gate_parked,enterprise test owner,"A renderer crash leaves a FAILED job with DELIVERABLE_RENDER_FAILED (message never persisted), no frozen record, no deliverable.frozen event and no half-published export; a missing export refuses filing and keeps the gate parked; a font bundle failing verification refuses to render."
PUB-015,OPEN,junit:caos.tests.spec.test_http_contracts_spec::test_upload_route_enforces_the_same_admission_as_the_ingestion_helper;junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed],enterprise test owner / design owner,"Export filenames are not user-derived: the deliverable export route serves bytes with x-caos-sha256 and no Content-Disposition, the audit package names itself from the server case id, and upload filenames are canonicalised at the source route ('../../escape.txt' -> 'escape.txt'). Document metadata (PDF Info dictionary, XLSX docProps creator/dates) is not asserted by any retained test beyond byte-determinism (SOURCE_DATE_EPOCH=0 pinned by the goldens). Needs a test reading PDF/XLSX metadata and, if a download filename is ever added, its sanitisation."
PUB-016,PASS,junit:caos.tests.spec.test_deliverables_spec::test_xlsx_export_neutralizes_formula_text_and_preserves_typed_model_values;junit:caos.tests.spec.test_distressed_model_overlay::test_distressed_model_export_includes_the_auditable_pathway_effect,enterprise test owner,"An '=HYPERLINK(...)' narrative reaches the workbook as an escaped literal string (data_type 's'), no cell in any sheet has data_type 'f', and model numbers stay typed floats; the renderer also raises DELIVERABLE_EXPORT_UNSAFE if a formula reaches the workbook. The signed model export is asserted formula-free in the distressed overlay spec."
PUB-017,OPEN,junit:caos.tests.spec.test_deliverables_spec::test_xlsx_export_neutralizes_formula_text_and_preserves_typed_model_values;junit:caos.tests.spec.test_modules_spec::test_canonicalization_rejects_render_deception_but_accepts_normal_rtl,enterprise test owner (renderer and frontend injection tests),"Code escapes Pango markup with html.escape (renderers._esc) and Markdown cells escape pipes; XLSX HYPERLINK formulas are neutralised; boundary text refuses control and bidi-override characters. No retained test injects <script>, <b>, javascript: or [text](url) into a narrative and asserts literal rendering in the PDF, Markdown, XLSX or the browser preview (DeliverableDocument.tsx); the workbench journey used fixture routes. Needs adversarial narrative fixtures across all four surfaces."
PUB-018,BLOCKED EXTERNAL,junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_publication_spec::test_pdf_glyphs_come_from_the_vendored_font_bundle_alone,credit analysts / design owner (REV-006),"The goldens pin page counts, heading order, a 1,000-8,000 character bound on every long-text page (no blank, heading-only or overprinted page), intact CJK/Greek/Turkish/ligature text and the vendored font bundle, but clipping, overlap, hierarchy, density and benchmark inferiority are visual judgments. The implementer's page-by-page inspection exists only as prose in the Task 10 report, not as a retained artifact for this candidate; the benchmark comparison (e566c1b) is REV-006 Q2, OUTSTANDING."
PUB-019,PASS,junit:caos.tests.spec.test_publication_spec::test_approver_is_provisioned_through_the_members_route_without_database_seeding;junit:caos.tests.spec.test_publication_spec::test_the_opinion_signer_and_the_freeze_actor_cannot_file_their_own_output;junit:caos.tests.spec.test_deliverables_spec::test_http_filing_gate_denies_outsiders_404_readers_403_analysts_403_for_every_global_role;junit:caos.tests.spec.test_deliverables_spec::test_case_approver_standing_suffices_across_all_global_writer_roles;junit:caos.tests.spec.test_deliverables_spec::test_downgraded_global_reader_loses_filing_authority_despite_case_standing,enterprise test owner,"POST /api/cases/{id}/members provisions an APPROVER over HTTP (analyst 403, reader 403, outsider 404 even as global ADMIN, invalid role 422) and that approver files; the opinion signer and the freeze actor are refused APPROVER_NOT_INDEPENDENT (403) even with approver standing; filing needs stored case APPROVER/ADMIN standing plus a current global writer role."
PUB-020,PASS,junit:caos.tests.spec.test_deliverables_spec::test_approval_binds_exact_preview_digest_and_fingerprint_mismatch_leaves_frozen_retryable;junit:caos.tests.spec.test_deliverables_spec::test_gate_approval_hash_is_canonical_sha256_form;junit:caos.tests.spec.test_deliverables_spec::test_filing_rechecks_frozen_draft_digest_even_if_other_preview_digests_are_rebound;junit:caos.tests.spec.test_deliverables_spec::test_http_approval_payload_rejects_caller_owned_authority_fields;junit:caos.tests.spec.test_publication_spec::test_filing_writes_an_immutable_detached_receipt_and_leaves_the_approved_bytes_untouched,enterprise test owner,"Approval carries exactly preview_digest and input_fingerprint; a mismatch on either is refused and the record stays FROZEN and retryable; the gate hash is the canonical sha256:<preview_digest> form only; caller-owned authority fields are 422; the receipt records the bound digest, fingerprint and approval hash."
PUB-021,PASS,junit:caos.tests.spec.test_deliverables_spec::test_gate_recomputes_stored_digest_and_refuses_tampered_frozen_content;junit:caos.tests.spec.test_deliverables_spec::test_filing_refuses_export_metadata_substituted_from_another_reviewed_draft;junit:caos.tests.spec.test_deliverables_spec::test_approval_revalidates_current_accepted_snapshot_and_stale_leaves_no_residue;junit:caos.tests.spec.test_deliverables_spec::test_gate_revalidates_accepted_artifact_graph_after_freeze;junit:caos.tests.spec.test_deliverables_spec::test_filing_rejects_a_frozen_fallback_after_an_analyst_revision_becomes_active;junit:caos.tests.spec.test_deliverables_spec::test_authority_move_during_approval_cannot_cross_the_filing_cas;junit:caos.tests.spec.test_deliverables_spec::test_gate_rejects_source_set_drift_between_freeze_and_filing;junit:caos.tests.spec.test_deliverables_spec::test_downgraded_global_reader_loses_filing_authority_despite_case_standing;junit:caos.tests.spec.test_simulations_spec::test_sim_020_membership_revoked_between_authorization_and_commit_is_rejected_at_commit_time,enterprise test owner,"Bytes: tampered frozen content or substituted export metadata is refused. Dependency: a superseded snapshot, a forged accepted artifact, a newer active model revision, or an authority move mid-approval is refused inside the CAS. Standing: membership revoked between authorization and commit, or a downgraded global role, refuses at commit. Source status: a source-set change between freeze and filing is refused. Every refusal leaves the record FROZEN with no audit residue. A post-freeze withdrawal of a cited source is covered only through the source-set version it moves."
PUB-022,PASS,junit:caos.tests.spec.test_publication_spec::test_concurrent_filers_yield_one_receipt_and_one_typed_loser;junit:caos.tests.spec.test_deliverables_spec::test_concurrent_filers_yield_exactly_one_filed_with_payload_equal_to_frozen;junit:caos.tests.spec.test_deliverables_spec::test_stale_or_duplicate_resume_returns_resume_not_applied_never_success;junit:caos.tests.test_postgres_races::test_filing_race_files_once_with_one_receipt,enterprise test owner,"Two concurrent approvers yield one FILED record, one receipt and one deliverable.filed event, with the loser refused RESUME_NOT_APPLIED; proven in-process and on two PostgreSQL connections (SIM-017); a duplicate resume is a 409, never a second filing."
PUB-023,PASS,junit:caos.tests.spec.test_deliverables_spec::test_filed_exports_are_byte_exact_sha_verified_and_never_rerendered;junit:caos.tests.spec.test_deliverables_spec::test_tampered_or_missing_stored_export_fails_closed_with_no_audit_residue;junit:caos.tests.spec.test_publication_spec::test_filed_download_is_audited_and_tampering_is_detected_on_download;junit:caos.tests.spec.test_publication_goldens_spec::test_held_and_filed_bytes_are_the_frozen_bytes,enterprise test owner,"Downloads serve the stored bytes whose sha256 and size equal the frozen record (never re-rendered, even by an instance whose renderer explodes); a tampered export is DELIVERABLE_EXPORT_INTEGRITY_FAILED (409) and a missing one DELIVERABLE_EXPORT_UNAVAILABLE, with no audit residue; served downloads are audited. Proven through the app's TestClient, not through the Caddy edge on the image."
PUB-024,OPEN,junit:caos.tests.spec.test_audit_package_spec::test_package_holds_no_source_text_vault_path_secret_or_provider_body;junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_deliverables_spec::test_canonical_document_is_the_only_cross_format_export_source;junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer,enterprise test owner,"The packaged filed export bytes are scanned for source block text, vault paths, session/edge secrets, api_key/authorization, prompt/system_prompt/messages and found clean; the approver identity never appears in any format; renderers walk payload.publication only. Not asserted: exclusion of draft comments (a request-changes comment is appended to the replacement draft and no test freezes after it), hidden controls, case notes or other non-publishable notes, and provider traces beyond the identity disclosure. Needs a fixture seeding each of those and scanning md/pdf/xlsx."
PUB-025,PASS,junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer;junit:caos.tests.spec.test_publication_spec::test_filing_writes_an_immutable_detached_receipt_and_leaves_the_approved_bytes_untouched;junit:caos.tests.spec.test_publication_goldens_spec::test_held_and_filed_bytes_are_the_frozen_bytes,enterprise test owner,"Every format carries the source register and citations, limitations, machine-assistance line, analyst opinion and owner, approval state PENDING APPROVAL, as-of date, draft version and the draft/content digests and input fingerprint (asserted by the parity checks and pinned by the normalised Markdown golden); the approver identity lives only in the append-only detached receipt and the approved bytes are untouched by filing. No intended-approver prebinding feature exists, so the 'unless prebound' clause has no path. The fixture's as-of date renders 'Unavailable' because the seeded acceptance carries no date."
PUB-026,BLOCKED EXTERNAL,junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_deliverables_spec::test_canonical_document_is_the_only_cross_format_export_source,credit analysts / design owner (REV-006),"The mechanical half is proven: 'Analyst judgment' versus 'Locked · model/artifact/system' origin labels, limitations, the opinion and its owner, and source ids are present in Markdown, PDF and XLSX for six states, and effective assumptions ride the model appendix. Whether an external reader can actually distinguish them is REV-006 Q1 (clarity, source disclosure, limitations, terminology), OUTSTANDING."
PUB-027,PASS,junit:caos.tests.spec.test_publication_goldens_spec::test_held_and_filed_bytes_are_the_frozen_bytes;junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_deliverables_spec::test_http_request_changes_requires_approver_and_nonblank_comment_and_appends_commented_draft;junit:caos.tests.spec.test_deliverables_spec::test_change_request_revision_conflict_rolls_back_frozen_and_thread_transition,enterprise test owner,"A change request moves the record to CHANGES_REQUESTED with the frozen exports unchanged byte for byte, appends a traceable replacement draft carrying the comment, requires an approver and a non-blank comment, and rolls back entirely on a revision conflict."
PUB-028,PASS,junit:caos.tests.spec.test_deliverables_spec::test_later_filing_supersedes_prior_with_pointer_and_terminalizes_its_thread;junit:caos.tests.spec.test_deliverables_spec::test_filed_exports_are_byte_exact_sha_verified_and_never_rerendered;junit:caos.tests.spec.test_publication_goldens_spec::test_held_and_filed_bytes_are_the_frozen_bytes,enterprise test owner,"A later filing marks the prior FILED record SUPERSEDED with superseded_by_id and terminalises its thread; the record and its content-addressed exports are never rewritten or re-rendered. The export route serves SUPERSEDED records, but no retained test downloads a superseded filed export after refiling."
PUB-029,OPEN,artifact:gates/sec-audit.txt;junit:caos.tests.test_user_upload_only::test_tracked_product_sources_prohibit_external_filing_acquisition;junit:caos.tests.test_user_upload_only::test_deployed_cp1c_has_no_external_peer_acquisition_lane,design owner / enterprise test owner,"No transmission surface exists: the 59 audited routes are case, source, run, model, deliverable and audit reads and writes, and export is a download. But absence is not asserted: the retained sec-audit artifact holds only the summary line, the OpenAPI walk pins no route inventory, and the upload-only tests ban inbound acquisition patterns, not outbound sending; no connector-authorisation policy exists to test. Needs a pinned route inventory test asserting no outbound side effect and a recorded decision on connector authorisation."
PUB-030,OPEN,junit:caos.tests.spec.test_audit_package_spec::test_package_is_case_authorized_audited_and_offline_verifiable_in_a_clean_directory;junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[export_bytes];junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[audit_reorder];junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[audit_mutate];junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[receipt_approver];junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[frozen_payload];junit:caos.tests.spec.test_audit_package_spec::test_offline_verifier_convicts_every_tamper_class[manifest_gap];junit:caos.tests.spec.test_audit_package_spec::test_verifier_renderer_copy_is_byte_identical_to_the_application_renderer;junit:caos.tests.spec.test_research_spec::test_accepted_research_flows_through_draft_freeze_file_and_reconstruction,decision owner (golden journeys on the frozen stack); independent reviewer (REV-012),"In-suite contract proof: a stdlib-only verifier in a clean directory recomputes every manifest digest, the audit chain, frozen and receipt digests, and re-renders the Markdown export byte for byte from the frozen payload, convicting six tamper classes. Not run on the image for this candidate (no retained package or verifier run), and the package holds block digests rather than source text, so tracing each published number back to its source needs the retained sources — REV-012's exercise, OUTSTANDING."
