check_id,family,condition,mechanism,evidence,atlas_owasp,notes,recorded
WEB-012,WEB,Test browser preview content as untrusted text and prevent script execution,retained-test,caos/frontend/src/components/report/ReportStudio.test.ts; caos/scripts/recorded_review.py (rule inner-html); caos/tests/spec/test_http_contracts_spec.py::test_every_response_carries_the_browser_hardening_headers,—,CSP script-src 'self' 'unsafe-inline' is recorded in api/__init__.py; no HTML from documents ever reaches the DOM.,2026-09-03
WEB-013,WEB,Test session expiry and permission changes without losing unsaved local work,retained-test,"caos/frontend/scripts/workbench-smoke.mjs (reader gate with /api/me aborted falls to the read-only floor, dirty-draft guards on navigation, history and unload)",—,BLOCKED EXTERNAL for a real session expiry at the enterprise edge (identity provider).,2026-09-03
WEB-014,WEB,"Test local draft isolation across cases, tabs, users, and browser restarts",retained-test,caos/frontend/scripts/draft-history-smoke.mjs; caos/frontend/scripts/workbench-smoke.mjs (draft history across cases and routes),—,,2026-09-03
WEB-015,WEB,"Capture approved preview and publication screenshots for every pathway and representative dense, long-text, multilingual, conditional, held, and filed state",candidate-harness,"caos/frontend/scripts/workbench-smoke.mjs (screenshots and traces on failure, report per engine); caos/tests/spec/test_publication_goldens_spec.py (rasterised PDF pages per state, Task 10)",—,Approved screenshots are candidate evidence gathered in Task 13's golden journeys.,2026-09-03
PERF-001,PERF,Prove admission refuses the twenty-first active job before allocating provider or worker capacity,retained-test,caos/tests/spec/test_limits_spec.py::test_active_job_ceiling_refuses_the_twenty_first_before_any_reservation; caos/tests/spec/test_runs_spec.py::test_admission_ceiling_is_derived_and_capacity_returns_on_completion; caos/tests/test_audit_regressions.py::test_queue_build_shares_the_admission_ceiling; qa/capacity.py::limits,API4:2023,"409 ADMISSION_BUSY with no run row, no ledger row and no provider call.",2026-09-03
PERF-002,PERF,"Prove per-subject stream, preview, and request ceilings do not affect other subjects",retained-test,caos/tests/spec/test_limits_spec.py::test_stream_ceiling_at_and_above_is_per_subject_and_returned; caos/tests/spec/test_limits_spec.py::test_preview_ceiling_at_and_above_is_per_subject_and_returned; caos/tests/spec/test_limits_spec.py::test_rate_ceiling_exactly_at_the_limit_is_admitted_and_one_more_is_refused; qa/capacity.py::limits,API4:2023,,2026-09-03
PERF-003,PERF,Hold 20 route-balanced runs across all six pathways and both depths without cross-case data or event leakage,candidate-harness,"qa/capacity.py::profile (--jobs 20, six pathways, both depths, per-subject leakage check every sample); caos/tests/test_corpus_pathways.py (CORPUS_FULL=1: every route at both depths under host control)",—,Candidate evidence only (Task 13).,2026-09-03
PERF-004,PERF,Upload maximum-size supported files concurrently and preserve atomic intake,retained-test,caos/tests/spec/test_limits_spec.py::test_source_size_ceiling_below_at_and_above_refuses_before_scan_or_vault; caos/tests/spec/test_intake_spec.py::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing; caos/tests/test_postgres_races.py::test_concurrent_identical_intake_packs_admit_one_pack; qa/capacity.py::profile (--large-every),—,,2026-09-03
PERF-005,PERF,List 100 cases without loading evidence-block bodies and keep response growth proportional to returned metadata,candidate-harness,caos/tests/test_source_ingestion.py::test_pathway_fit_never_reads_the_blocks_column; qa/capacity.py::profile (list_cases p95 over 100 cases),—,CLAUDE.md records the N+1 on the list route; the harness measures it.,2026-09-03
PERF-006,PERF,"Exercise 100-document source lists, source-set pins, withdrawals, and audit export",candidate-harness,"qa/capacity.py::profile (--documents 100, list_sources samples); caos/tests/spec/test_audit_package_spec.py; caos/tests/test_store.py",—,,2026-09-03
PERF-007,PERF,Generate simultaneous model previews and verify no persisted transient state,retained-test,caos/tests/spec/test_model_builder_spec.py::test_preview_and_signoff_share_exact_calculation_and_previews_persist_nothing; caos/tests/spec/test_model_builder_spec.py::test_scenario_and_one_way_are_transient_with_registry_guardrails; caos/tests/spec/test_limits_spec.py::test_preview_ceiling_at_and_above_is_per_subject_and_returned,—,,2026-09-03
PERF-008,PERF,"Queue concurrent model builds and exports and verify fair, bounded worker progress",retained-test,caos/tests/spec/test_model_builder_spec.py::test_concurrent_queue_is_idempotent_and_attributes_the_winner; caos/tests/test_postgres_races.py::test_model_build_claim_race_has_one_executor; caos/tests/test_worker.py,—,Fairness under the full profile is candidate evidence; exports have no claim (CLAUDE.md known gap).,2026-09-03
PERF-009,PERF,Keep non-provider API reads below 1s at the 95th percentile in the declared lab profile,candidate-harness,qa/capacity.py::profile (p95 per read class in profile.json),—,Candidate evidence only.,2026-09-03
PERF-010,PERF,Deliver persisted run events to connected browsers within 2s at the 95th percentile after commit,candidate-harness,qa/capacity.py::profile (stream_open samples); caos/tests/spec/test_http_contracts_spec.py::test_run_events_sse_tails_the_event_log_with_last_event_id_resume (0.4 s poll),—,Candidate evidence only.,2026-09-03
PERF-011,PERF,Keep the browser responsive during maximum-length tables and event histories,candidate-harness,caos/frontend/scripts/a11y-axe.mjs (ready-model worksheet fixture); caos/frontend/scripts/workbench-smoke.mjs (DCL/FCP budgets),—,Maximum-length tables and event histories are candidate evidence.,2026-09-03
PERF-012,PERF,"Record CPU, memory, database connections, checkpoint size, vault growth, and export storage during the full test",candidate-harness,"qa/capacity.py::profile (--compose-project: docker stats, pg_stat_activity, vault and checkpoint sizes every sample into samples.jsonl)",—,Candidate evidence only.,2026-09-03
PERF-013,PERF,Run an eight-hour route-balanced soak with repeated cycles including representative faults under saturation,candidate-harness,qa/capacity.py::profile (--duration 28800 --restart-every --restart-command),—,Candidate only (Task 13).,2026-09-03
PERF-014,PERF,"Finish the soak with no leaked jobs, permits, file handles, database connections, or growing orphan state",candidate-harness,qa/capacity.py::profile (samples.jsonl trend); caos/server/caos/models/service.py::recover_builds; caos/tests/spec/test_limits_spec.py (slots returned),—,Candidate only.,2026-09-03
PERF-015,PERF,"Repeat all six golden journeys after the soak and compare authority, model hashes, filed bytes, and audit reconstruction to the pre-soak baseline",candidate-harness,qa/capacity.py::baseline; qa/capacity.py::compare; caos/server/caos/audit/verify_package.py,—,Candidate only.,2026-09-03
