Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-RUN-11,Canonical output envelope,As an auditor I want module output to survive only as the strict canonical envelope with citations drawn from delivered evidence.,Undeclared fields are refused; a forged citation outside the delivered set is rejected at canonicalization.,Extra key in payload; citation to a block never delivered; missing required section.,test_evidence_spec.py::test_forged_citation_outside_delivered_set_is_rejected_at_canonicalization; test_modules_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-12,"Durable, exactly-once execution","As an operator I want a crash in the commit gap to yield one artifact, one charge and one terminal event.",Run-state transitions commit state + run event in one transaction and every event insert rides a conditional transition (zero rows updated -> no event).,Crash between artifact write and event insert; duplicate finalize; replay from the same pins is equivalent by the same path.,test_finalization_metering.py; test_runs_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-13,Admission ceiling for active jobs,As an operator I want a bounded number of active jobs so the instance cannot be flooded.,MAX_ACTIVE_JOBS (20) bounds runs and queued model builds together; over-ceiling raises ADMISSION_BUSY -> 409.,21st run; a queued model build counted against the same ceiling; ceiling releases on terminal state.,test_audit_regressions.py::test_queue_build_shares_the_admission_ceiling; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-14,Agent execution fail-closed,As an operator I want LLM execution off unless explicitly enabled.,Settings.agent_execution_enabled defaults false and only accepts the exact strings true/false. A full run is refused before creating a run when execution is disabled; an ordinary deterministic node with no source-computed executor is separately refused and cannot create a placeholder success artifact.,AGENT_EXECUTION_ENABLED=True (rejected); =1 (rejected); unset (off); disabled full run (AGENT_EXECUTION_DISABLED); unavailable deterministic executor (DETERMINISTIC_EXECUTOR_UNAVAILABLE).,"test_config_and_vault.py::test_agent_flag_rejects_noncanonical_boolean, ::test_agent_flag_defaults_off; test_runs_spec.py::test_ordinary_deterministic_execution_refuses_without_creating_placeholder_artifacts; test_single_instance.py::test_host_control_test_capabilities_reject_a_real_development_provider [executed 2026-09-01]",PASS,0,-,The explicit per-run placeholder capability is memory-only and requires both development mode and a verified host_control provider identity; it is not reachable from configuration or HTTP and is refused for real development or qualified production providers.,2026-09-01
F-RUN-15,Methodology bundle authority,As an auditor I want the vendored bundle verified on the bytes at use and a run pinned to one build never executing under another.,methodology.bundle.DeployVBundle verifies integrity at use; GOLDEN_AUTHORITY_DIGESTS pins the assembled authority per module.,Tampered vendored file; a run whose methodology_build_id no longer matches; wrapper text change moves the digest deliberately.,test_bundle.py (7 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-RUN-16,Deterministic module execution,As an analyst I want screen-depth routes to run end to end without any provider call.,Registry mode_screen is deterministic for every module but the remaining fixed-text builder is host-control-only. Its memory-only capability requires development mode and a verified host_control provider identity. Ordinary execution currently returns DETERMINISTIC_EXECUTOR_UNAVAILABLE until each route has a real source-computed executor.,Screen run with no API key; real provider attempts the test seam; qualified production provider attempts the test seam; restart cannot regain the test-only capability; placeholder artifacts cannot be accepted after restart.,test_runs_spec.py::test_ordinary_deterministic_execution_refuses_without_creating_placeholder_artifacts and placeholder restart/acceptance controls; test_single_instance.py host-control boundary tests [executed 2026-09-01],FAIL,1,Critical,Enterprise MVP blocker: screen routes are statically compiled but do not yet run end to end. Task 6 must land source-computed executors and prove every route without re-enabling fixed-text success.,2026-09-01
F-RUN-17,Startup recovery,As an operator I want a restart to re-adopt in-flight runs rather than orphan them.,dev.py and run.py perform startup recovery over the run store before serving.,Run left running across a restart; run left at an interrupt; no in-flight runs.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,,2026-08-30
F-SNAP-01,Snapshot lens and diff,"As an analyst I want to see which snapshot I am reading, whether a newer one exists, and what changed.","GET /api/cases/{case_id}/snapshot -> {accepted (the visible one), latest_accepted, switch_required, diff}. diff is null when the visible and latest ids match, else {changed, added, removed, modified, source_set_changed} computed over per-module artifact digests.","No snapshots (all null, switch_required false); visible==latest (diff null); source set changed but digests equal (changed true).",test_runs_spec.py snapshot tests; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe and live server on :8011],PASS,0,-,,2026-08-30
F-SNAP-02,Switch the visible snapshot,As an analyst I want to pin a specific snapshot so my reading does not move under me.,POST /api/cases/{case_id}/snapshot/switch with {snapshot_id} (1..64 chars). Unknown snapshot -> 404. Once pinned only this route moves the lens.,Switch to a foreign case's snapshot; switch to the current one; empty id.,test_runs_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-ART-01,Read an artifact,"As an analyst I want to open a module artifact with its digest, lineage and markdown.",GET /api/cases/{case_id}/artifacts/{artifact_id} -> ArtifactResponse over a fixed key set. An artifact belonging to another case -> 404.,Deterministic artifact (markdown null); agent artifact (canonical six-section markdown); foreign case.,test_http_contracts_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-MODEL-01,Model readiness,As an analyst I want to know whether the case can build a model and what is missing.,"GET /api/cases/{case_id}/model -> ModelReadinessResponse with status, module_id CP-MODEL, accepted_snapshot, source_set, per-module requirements (defaulting every CANONICAL_MODULE plus CP-2B to MISSING), calculation_runtime, worksheet_schema_version caos.model.worksheet.v1, blockers and the current build.",No accepted snapshot; an accepted overlay pathway with no Full Credit model in its chain (PRIOR_FULL_CREDIT_MODEL_REQUIRED / DISTRESSED_BASE_MODEL_REQUIRED / DEEP_RESEARCH_NO_NUMERIC_EFFECT); a screen-depth route without the effect modules (FULL_DEPTH_REQUIRED); a Relative Value run with no pinned workbook (RELATIVE_VALUE_MARKET_MARKS_REQUIRED); a used relevant document nothing consumed (MODEL_SOURCE_LINEAGE_INCOMPLETE); some modules present; a stale build.,"test_model_builder_spec.py (incl. test_non_full_credit_authority_reads_as_not_ready_not_as_invalid_inputs, test_no_accepted_authority_blocker_carries_a_detail, test_genuinely_invalid_canonical_inputs_still_read_as_invalid); test_source_complete_modelling_spec.py (every pathway effect, lineage oracle, metamorphic cases, depth and marks preconditions); test_corpus_pathways.py (six routes, both depths, CORPUS_FULL=1) [executed 2026-09-02 by the repo suite on Python 3.14]",PASS,1,High (fixed),"Task 9 (DECISIONS §14.18): every pathway declares one model effect on the nearest validated Full Credit model, every build carries a source-lineage record, and each precondition reads NOT_READY with its own code and a rendered detail; genuine input corruption keeps CANONICAL_MODEL_INPUTS_INVALID. Earlier note (2026-08-31): readiness had collapsed the wrong-pathway precondition into CANONICAL_MODEL_INPUTS_INVALID (qa/FINDINGS.md F-10).",2026-09-02
F-MODEL-02,Queue a model build,As an analyst I want to queue an XLSX model build from the accepted snapshot.,"POST /api/cases/{case_id}/models, 202 ModelQueueResponse. Body must be empty (extra=forbid). Not-ready cases raise a typed ValueError -> 422/409; MODEL_BUILD_STALE and MODEL_REVISION_CONFLICT are 409 with the current value.",Queue with no accepted snapshot; queue twice; queue while another is BUILDING; body with a field.,test_model_builder_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-MODEL-03,List model builds,As an analyst I want the build history for a case.,GET /api/cases/{case_id}/models -> {builds:[...]} projected by _wire_build; payload/qa are included only when the build carries a payload.,No builds; a FAILED build carries error; export sub-status.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-MODEL-04,Read a model build,"As an analyst I want one build with its status, fingerprint and QA.",GET /api/cases/{case_id}/models/{build_id}. GET /api/cases/{case_id}/models/{build_id}/worksheet returns the governed worksheet for a ready build. A build in another case -> 404 'model build not found'.,Ready worksheet carries schema/build identity; outsider and cross-case build reads return 404.,test_model_builder_spec.py::test_http_worksheet_route_serves_the_ready_build_payload; ::test_model_reads_are_case_scoped_and_downloads_are_verified; focused model-builder/observability run [executed 2026-09-01: 119 passed],PASS,0,-,Focused host-contract evidence only; no live-provider or browser qualification.,2026-09-01
F-MODEL-05,Download the model workbook,As an analyst I want the built XLSX with its digest.,"POST /api/cases/{case_id}/models/{build_id}/export queues the exact ready build. GET /api/cases/{case_id}/models/{build_id}/download returns the workbook with the XLSX media type, cache-control no-store and x-caos-sha256. A build that cannot be downloaded raises ValueError -> 409 with the bare code. The XLSX media type is excluded from gzip.",Queue the exact READY build; verified digest/cache headers; tampered bytes; directory or symlink in place of the export.,test_model_builder_spec.py::test_http_build_export_route_queues_the_exact_ready_build; ::test_model_reads_are_case_scoped_and_downloads_are_verified; focused model-builder/observability run [executed 2026-09-01: 119 passed],PASS,0,-,Focused host-contract evidence only; no live-provider or browser qualification.,2026-09-01
F-MODEL-06,Assumption registry,As an analyst I want the registry of assumptions the model will use.,GET .../models/assumption-registry?build_id=... -> ModelAssumptionRegistryResponse. build_id is a REQUIRED QUERY parameter; the route is declared before /models/{build_id} so it is not shadowed. Route: /api/cases/{case_id}/models/assumption-registry.,Missing build_id (422); unknown build_id; build in another case.,test_model_builder_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,Verified live: a missing build_id query parameter is 422; the literal route is declared before /models/{build_id} so it is not shadowed.,2026-08-30
F-MODEL-07,Model preview,As an analyst I want to see the effect of assumption edits before signing off.,"POST .../models/previews -> ModelPreviewResponse. Body pins build_id, registry_version and a 64-hex registry_digest, 1..256 assumption values each with a FY-pattern period, a case of BASE|DOWNSIDE and a finite-or-null value. Calculation is pure and finite: non-finite values and zero denominators are refused before use. Bounded by MAX_CONCURRENT_PREVIEWS. Route: /api/cases/{case_id}/models/previews.",NaN value; 257 assumptions; registry digest mismatch; zero denominator; period 'FY26'.,test_model_builder_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-MODEL-08,Model sign-off,As an analyst I want sign-off to bind the exact reviewed preview.,"POST /api/cases/{case_id}/model-revisions/sign-off creates the revision with preview_digest, optional expected_head_revision_id and a non-blank 1..2000-char note. POST /api/cases/{case_id}/model-revisions/rebase-preview preserves the signed source while rebasing it onto a build. Single-actor release is a store CAS transaction, not an interrupt; a head mismatch is MODEL_REVISION_CONFLICT 409 carrying current.",Blank/whitespace note; stale-head conflict; rebase preserves the signed source; changed source context or unmapped assumptions; rebase preview persists nothing.,test_model_builder_spec.py::test_http_preview_signoff_history_and_stale_head_conflict; ::test_http_rebase_preview_route_preserves_the_signed_source; ::test_newer_accepted_build_stales_revisions_and_rebase_preview_is_transient; ::test_rebase_reports_source_context_drift_and_unmapped_assumptions; test_audit_regressions.py::test_model_revision_mutation_is_refused_by_the_store_not_by_fiat; focused model-builder/observability run [executed 2026-09-01: 119 passed],PASS,0,-,Focused host-contract evidence only; no live-provider or browser qualification.,2026-09-01
F-MODEL-09,Model scenario,As an analyst I want to shock assumptions and see deltas without creating a revision.,POST /api/cases/{case_id}/models/scenarios runs explicit shocks. POST /api/cases/{case_id}/models/sensitivities/one-way runs a bounded one-way range. POST /api/cases/{case_id}/models/tornado ranks forecast-assumption effects. All are pure preview calculations and create no revision.,Non-finite or unknown shocks; bounded two-point one-way range; complete working forecast for tornado; calculations persist no revision.,test_model_builder_spec.py::test_scenario_and_one_way_are_transient_with_registry_guardrails; ::test_tornado_is_ranked_and_centred_on_the_complete_working_forecast; ::test_http_one_way_route_calculates_without_persisting; ::test_http_tornado_route_uses_the_complete_working_forecast; focused model-builder/observability run [executed 2026-09-01: 119 passed],PASS,0,-,Focused host-contract evidence only; no live-provider or browser qualification.,2026-09-01
F-MODEL-10,List and export model revisions,As an analyst I want the sign-off history and its exact exports.,GET /api/cases/{case_id}/model-revisions lists revisions. GET /api/cases/{case_id}/model-revisions/export-statuses lists export status without worksheet payloads. POST /api/cases/{case_id}/model-revisions/{revision_id}/export queues an exact revision; GET /api/cases/{case_id}/model-revisions/{revision_id}/download returns its verified bytes.,Signed revision appears in history; exact signed revision queued; status polling omits worksheet and vault location; READY metadata; downloaded bytes match the recorded SHA-256.,test_model_builder_spec.py::test_http_preview_signoff_history_and_stale_head_conflict; ::test_http_revision_export_route_queues_the_exact_signed_revision; ::test_http_revision_export_statuses_omit_signed_model_payloads; ::test_http_revision_download_serves_the_verified_export; focused model-builder/observability run [executed 2026-09-01: 119 passed],PASS,0,-,Focused host-contract evidence only; no live-provider or browser qualification.,2026-09-01
F-MODEL-11,Worker build execution,As an operator I want queued model builds and exports executed out of the request path.,worker.py polls the store for QUEUED builds and exports and executes them. Current runtime XLSX export uses ModelService._render_bytes and the Python render_workbook path; LibreOffice is installed and separately smoke-tested but is not invoked by runtime exports. --once runs one pass. Failure updates are CAS-bound; exports still have no pre-render claim.,No queued work; a build that fails mid-render; a lost or repointed claim; --once exits after one pass; duplicate worker can double-render before the conditional publish/failure write.,test_worker.py (6 tests) [executed 2026-09-01 in the Task 5D focused gate],PASS,1,High,Runtime LibreOffice recalculation/validation and an export claim token remain enterprise blockers; this row proves worker dispatch and conditional finalization only.,2026-09-01
F-DELIV-01,Read the deliverable workspace,"As an analyst I want the template, current draft, revision history, frozen history and model eligibility in one read.","GET /api/cases/{case_id}/deliverables/{pathway}/draft -> DeliverableWorkspaceResponse. An unknown pathway raises a typed ValueError mapped by deliverable_error (NOT_FOUND->404, STALE/CONFLICT/CHANGED/INTEGRITY->409, else 422).",Unknown pathway; no draft yet; case with no model.,test_deliverables_spec.py (48 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe and live server on :8011],PASS,0,-,E2E verified live: the EARNINGS_UPDATE template (caos.earnings-update.v1) is served for a fresh case.,2026-08-30
F-DELIV-02,Save a deliverable draft,As an analyst I want optimistic-concurrency draft saves so a concurrent edit cannot be silently lost.,"PUT .../deliverables/{pathway}/draft, 201. Body carries expected_version, template id/version, an optional discriminated model_selection and 1..120 discriminated blocks. A version mismatch is 409 DELIVERABLE_VERSION_CONFLICT carrying the current revision.",expected_version behind head; 0 blocks; 121 blocks; unknown block kind; APPLICATION_BUILD selection without fallback_acknowledged.,test_deliverables_spec.py::test_http_stale_draft_put_returns_409_with_current_revision_and_by_id_read_round_trips; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-DELIV-03,Read a deliverable revision by id,As an analyst I want to open any past revision.,GET .../deliverables/revisions/{revision_id} -> DeliverableRevisionResponse; unknown id -> 404 'revision not found'. Route: /api/cases/{case_id}/deliverables/revisions/{revision_id}.,Revision from another case; unknown id.,test_deliverables_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-DELIV-04,Freeze a deliverable,As an analyst I want to freeze a reviewed draft so approval binds exactly what was reviewed.,"POST .../deliverables/{pathway}/freeze, 201 FrozenDeliverableResponse. Body pins draft_id, draft_version >= 1 and a 64-hex draft_digest. Freeze refuses a citation whose source was withdrawn after the save; a retry across a second boundary converges on one record. Route: /api/cases/{case_id}/deliverables/{pathway}/freeze.",Digest mismatch; version behind; citation to a withdrawn source; retried freeze.,"test_audit_regressions.py::test_freeze_refuses_a_citation_whose_source_was_withdrawn_after_save, ::test_freeze_retry_across_a_second_boundary_converges_on_one_record; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed]",PASS,0,-,,2026-08-30
F-DELIV-05,Approve (file) a deliverable,As an approver I want approval to bind the exact reviewed content.,POST .../deliverables/by-id/{deliverable_id}/approve. Requires case approver authority. Body pins preview_digest and input_fingerprint (both 64-hex); a mismatch is a typed 409. Route: /api/cases/{case_id}/deliverables/by-id/{deliverable_id}/approve.,Analyst caller (403); wrong preview_digest; approving an already-filed deliverable; approving a superseded one.,test_deliverables_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-DELIV-06,Request changes on a frozen deliverable,As an approver I want to send a frozen deliverable back with a comment and get a fresh draft.,"POST .../request-changes -> {frozen, draft}. Comment is 1..2000 chars, non-blank after strip, and is stored stripped. Requires case approver authority. Route: /api/cases/{case_id}/deliverables/by-id/{deliverable_id}/request-changes.",Whitespace-only comment; 2001 chars; requesting changes twice.,test_deliverables_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-DELIV-07,Export a filed deliverable,As an analyst I want the filed deliverable as a file with its digest.,"GET .../export/{format_name}. Unknown deliverable -> 404; a deliverable not in FILED status -> 409 DELIVERABLE_NOT_FILED. Served as application/octet-stream with cache-control no-store and x-caos-sha256 (known gap: one media type for md/pdf/xlsx, so gzip re-compresses). Route: /api/cases/{case_id}/deliverables/by-id/{deliverable_id}/export/{format_name}.",Export a frozen-but-unfiled deliverable; unknown format; digest header matches.,test_deliverables_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-DELIV-08,Deliverable block schema,As an auditor I want every block kind bounded and every evidence claim cited.,"Discriminated union of HEADING, NARRATIVE, GENERATED_METRIC/TABLE/CHART, SCENARIO_EXHIBIT, EVIDENCE_REGISTER, MODEL_APPENDIX, LIMITATIONS. A NARRATIVE in EVIDENCE mode must carry at least one citation and non-blank text; SCENARIO_EXHIBIT carries a full ScenarioEnvelope plus a 64-hex scenario_digest.",EVIDENCE narrative with no citations; blank narrative text; 20001-char narrative; unknown kind.,test_deliverables_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus targeted HTTP probe],PASS,0,-,,2026-08-30
F-DELIV-09,Model eligibility for a deliverable,As an analyst I want to know which model revision or build this deliverable may cite.,DeliverableService.model_eligibility(case_id) is returned inside the workspace read; the draft's model_selection is a discriminated ANALYST_REVISION or APPLICATION_BUILD (the latter requiring fallback_acknowledged=true).,No model at all; a stale revision; APPLICATION_BUILD without acknowledgement.,test_deliverables_spec.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-CFG-01,Environment configuration,As an operator I want every environment variable range-checked at startup so a typo fails loudly.,"Settings.from_env: PORT 0..65535, MAX_UPLOAD_MB > 0, 0 < MAX_SOURCE_MB <= MAX_UPLOAD_MB, CLAMAV_PORT 1..65535, and RATE_LIMIT_PER_MINUTE / MAX_CONCURRENT_STREAMS / MAX_CONCURRENT_PREVIEWS all > 0. AGENT_EXECUTION_ENABLED accepts only 'true'/'false'.",PORT=70000; MAX_SOURCE_MB > MAX_UPLOAD_MB; RATE_LIMIT_PER_MINUTE=0; AGENT_EXECUTION_ENABLED=yes.,test_config_and_vault.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus deploy and config check],PASS,1,Medium,"D-006 fixed. Every variable in caos/.env.example and docker-compose.yml is now one Settings.from_env actually reads. Compose fails closed on each required secret with a named error, verified by supplying them one at a time.",2026-08-30
F-CFG-02,Production runtime validation,As a security owner I want production to refuse to start on a copied-and-forgotten .env.,"validate_runtime: production needs a postgresql:// or postgresql+psycopg:// DATABASE_URL, and EDGE_PROXY_SECRET / SESSION_SECRET that are non-empty, not a documented placeholder or dev literal, and at least 32 characters. A placeholder-prefixed password inside DATABASE_URL is also refused.",sqlite URL in production; dev-edge-secret; a 31-char secret; change-me password.,test_config_and_vault.py::test_production_fails_closed_without_postgres_and_secrets; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus deploy and config check],PASS,0,-,"validate_runtime exercised for real, not just unit-tested: the production boot succeeded only with a postgresql+psycopg URL and 40-character non-placeholder secrets.",2026-08-30
F-OPS-01,Development entrypoint,As a developer I want one command that serves the API and the built frontend against SQLite.,"caos/server/dev.py: SQLite under .dev-data, loopback bind, startup recovery, serves caos/frontend/out when built.",Frontend not built; port in use; existing .dev-data reused.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,Started live on port 8011 (8000 was occupied by another stack); startup recovery ran and the built export is served.,2026-08-30
F-OPS-02,Production entrypoint,"As an operator I want the combined app to validate its environment, recover and auto-continue runs.","caos/server/run.py builds the combined app with validated env, auto-continue enabled and startup recovery; it mounts the static export at / (so an absent non-GET route answers 405, which the frontend treats as route-absent).",Invalid env aborts start; auto-continue schedules run continuation on the serving loop.,Live production-mode boot against PostgreSQL; the same schema check ci.yml's postgres job performs [executed 2026-08-30 as a deploy and config check],PASS,1,Low,"Production entrypoint now exercised for real: run.py booted with ENVIRONMENT=production against a PostgreSQL 18 container and created 17 tables with none of the 8 required missing. Verified live - /api/health public 200, an unauthenticated /api/cases 401, an edge-authenticated OIDC call 200, role derived from groups only (a caller sending x-caos-role ADMIN with group caos-approver resolved to APPROVER), /openapi.json 404, HSTS present, and an upload with no CLAMAV_HOST correctly 503. D-009: npm run test:production-inventory cannot pass against this build - documented rather than deleted.",2026-08-30
F-OPS-03,Background worker,As an operator I want queued model builds and exports drained by a separate process.,caos/server/worker.py polls the store and executes QUEUED model builds and exports; --once runs a single pass and exits.,Empty queue; failing job; repeated passes.,test_worker.py; documented scenarios [executed 2026-08-30 by the repo suite (425 passed); not additionally probed],PASS,0,-,,2026-08-30
F-OPS-04,Static export serving,As an analyst I want the workbench served from the same origin as the API.,"Next static export (output: export, trailing slashes) mounted on the API app; route hrefs keep their trailing slash. Export and JSON are both gzipped with the load-bearing content-type exclusions.",Deep link with trailing slash; unknown path -> index (html=True); non-GET on an unrouted path -> 405.,workbench.test.ts; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus live server on :8011],PASS,0,-,Static export built (12 pages) and served by the combined app; all nine routes return 200 with trailing slashes.,2026-08-30
F-UI-01,Workbench shell and navigation,As an analyst I want one rail of six workflows whose labels match the destination they open.,"workbench.ts pins nine routeDestinations and six workflows; aria-current keys on destinations, never labels. destinationFromSlug maps a slug to its destination and workflowFor finds the owning workflow, defaulting to the first.",Unknown slug; a destination in no workflow (Admin Studio); trailing-slash hrefs.,workbench.test.ts; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-02,Cases screen,"As an analyst I want to create a case, pick one, upload a source and see the run summary in one place.","CasesView renders case selection, a create form, an upload form and RunSummary (status, module progress, a link) - never the compile form or the accept control, which keeps /cases/ to one page-level primary action.",No cases (empty state); create while a request is pending; upload failure message.,test:workbench (CAOS_BROWSER=chromium|firefox|webkit; test:browsers runs all three) smoke; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,"Workbench smoke passes warm (3/3). The first run after a cold server start failed its 400ms FCP budget at 700ms - cold chromium launch plus cold static cache, not a regression; see Remaining Risks. Task 12b: the journey is parameterised for Chromium, Firefox and WebKit with traces and screenshots retained on failure and a structured report per engine; the focus-return step after a cancelled browser-history traversal is recorded in enterprise-task-12b-report.md.",2026-09-03
F-UI-03,Sources screen,As an analyst I want to upload and inspect sources and open an evidence block from a citation.,SourcesView lists sources and opens EvidenceChip previews via onOpenEvidence; artifactReader normalises evidence refs from both the string and object shapes.,Artifact with object evidence_refs; artifact with string refs; missing block.,artifactReader.test.ts; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-04,Run Console,"As an analyst I want the single home for compiling, watching and accepting a run.","RunConsole owns the compile form, the accept control and the research-plan approval slot. Progress arrives as graph events: the SSE event NAME triggers a RunRecord refetch and the frontend never reads event payloads.",Run failure surfaces error text; accept disabled while running; approval unavailable (route absent) renders the not-available block.,workspaceAuthority.test.ts; test:workbench (CAOS_BROWSER=chromium|firefox|webkit; test:browsers runs all three); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,"Task 12b: the journey is parameterised for Chromium, Firefox and WebKit with traces and screenshots retained on failure and a structured report per engine; the focus-return step after a cancelled browser-history traversal is recorded in enterprise-task-12b-report.md.",2026-09-03
F-UI-05,Deep-Dive,As an analyst I want to read accepted artifacts and switch snapshots.,DeepDive renders RunSummary plus the artifact reader and calls onSwitchSnapshot; like Cases it never renders the compile form.,No accepted snapshot; switch_required banner; switching to an older snapshot.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-06,RV Screener,As an analyst I want to page through a large loan universe without freezing the browser.,RVView renders the fixed loanColumns with LOAN_PAGE_SIZE=250 per page; loanCell formats signed and unsigned numerics and renders nulls as an em dash.,Universe with 0 rows; > 250 rows (paging); null cells; negative changes.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-07,Command Center,As an analyst I want a case-level lens over the current question.,CommandView renders the case lens for the selected case and question.,No case selected; no question.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-08,Model Builder screen,"As an analyst I want to queue a build, edit assumptions, preview and sign off.",ModelBuilder.tsx plus the reducer in modelBuilderState.ts; the assumption-registry request is built by assumptionRegistryPath with an encoded build_id query parameter.,Stale build conflict; preview error; sign-off note empty; download unavailable.,ModelBuilder.test.ts; modelBuilderState.test.ts; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-09,Report Studio,"As an analyst I want to compose, freeze and export a deliverable.","ReportStudio.tsx plus DeliverableDocument.tsx render the block document, the freeze control and the export links against the served deliverables contract.",Version conflict on save; freeze with a withdrawn citation; export before filing.,ReportStudio.test.ts; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-10,Admin Studio (capability-gated),As an analyst I want surfaces this deployment does not serve to say so rather than error.,AdminView is behind the observed-404 capability gate: isUnavailableRoute treats 404 and 405 as route-absent and the control renders its not-available block instead of a retryable error.,404 from a GET route; 405 from a POST-only absent route; a real 500 still shows an error.,api.test.ts; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-11,Workspace authority state machine,"As an analyst I want stale responses, route replays and cross-case races never to overwrite what I am looking at.","lib/workspaceAuthority.ts arbitrates case/run authority by generation; a completion from a previous generation, a different case or a superseded run is rejected without changing state.",Case switched mid-request; run switched mid-request; late failure; snapshot refresh.,workspaceAuthority.test.ts (12 tests); documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-12,Error message unwrapping,"As an analyst I want every served refusal to reach me as a sentence, never [object Object].","api.ts detailMessage handles the three FastAPI detail shapes (string, object with detail/code, 422 array of {msg,loc}); a bare code is humanized. firstErrorMessage falls back to the caller's own sentence.",Nested {detail:{code}}; empty array; non-Error rejection; unknown code.,api.test.ts; documented scenarios [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
F-UI-13,Not-found route,As an analyst I want an unknown workbench path to render a real not-found page.,app/not-found.tsx renders the 404 destination; app/[destination]/page.tsx statically generates the nine known destinations.,Unknown slug; a known slug without a trailing slash.,documented scenarios (no dedicated test file) [executed 2026-08-30 by the repo suite (425 passed) plus a11y / workbench smoke / frontend unit],PASS,0,-,,2026-08-30
