check_id,family,section,condition,result,evidence,owner,notes
RUN-008,RUN,Test route compilation and execution,"Bind every node to run, case, profile, route occurrence, source set, plan digest, methodology build, provider, and model",PASS,junit:caos.tests.spec.test_runs_spec::test_run_store_copies_one_provider_identity_through_run_artifact_snapshot_and_events; junit:caos.tests.spec.test_runs_spec::test_artifact_verifier_rejects_row_relocation_and_index_drift; junit:caos.tests.spec.test_modules_spec::test_run_pins_build_id_and_refuses_execution_under_a_different_bundle; junit:caos.tests.spec.test_runs_spec::test_provider_identity_is_read_once_and_bound_through_runtime_authority; junit:caos.tests.test_bundle::test_distressed_routes_match_the_required_causal_graph; junit:caos.tests.spec.test_state_spec::test_plan_blob_is_frozen_and_digest_reassertion_catches_mutation,retained suite - no action,"A node's artifact is bound to run_id, case_id, module_id, input_fingerprint (plan_digest + route occurrence + upstream digests + source_set_digest), methodology build id, qa_status and provider identity (model/version), each rejected on relocation; the plan carries profile_id, build_id and the source set, and route occurrence ids are pinned per stage (RN-<profile>-<pathway>-<stage>-<module>). Weak point: run_nodes rows themselves carry run/case/module/stage only; the full binding lives on the artifact and the pinned plan."
RUN-009,RUN,Test route compilation and execution,Reject a module invocation whose route occurrence or upstream digest does not reproduce,PASS,junit:caos.tests.spec.test_runs_spec::test_artifact_verifier_rejects_row_relocation_and_index_drift; junit:caos.tests.spec.test_state_spec::test_plan_blob_is_frozen_and_digest_reassertion_catches_mutation; junit:caos.tests.spec.test_state_spec::test_checkpointed_digests_are_expectations_not_authority; junit:caos.tests.spec.test_runs_spec::test_snapshot_rejects_forged_succeeded_run; junit:caos.tests.spec.test_runs_spec::test_replacing_an_invalid_artifact_relinks_the_succeeded_node; junit:caos.tests.spec.test_modules_spec::test_run_pins_build_id_and_refuses_execution_under_a_different_bundle; junit:caos.tests.spec.test_distressed_model_overlay::test_distressed_rejects_a_forged_cp4c_calculator_binding,retained suite - no action,"verify_artifact_content (the function Engine._upstream_digests calls before every module) rejects a forged input_fingerprint, run/case/module relocation and qa drift; a tampered plan fails digest reassertion; a forged upstream digest fails the run gate RUN_NOT_READY; a non-verifying artifact is never reused. Weak point: the mid-run invocation seam (AGENT_AUTHORITY_MISMATCH 'validated upstream artifact is unavailable') is proven through the shared verifier and the finalization gate, not by a test that forges an upstream digest between two modules."
RUN-010,RUN,Test route compilation and execution,Execute each dependency before its consumer and reject missing blocking inputs,PASS,junit:caos.tests.test_bundle::test_all_golden_routes_compile_parse_first_and_deterministically; junit:caos.tests.test_bundle::test_distressed_routes_match_the_required_causal_graph; junit:caos.tests.test_corpus_pathways::test_supported_routes_complete_host_path_on_30_document_upload; junit:caos.tests.spec.test_distressed_model_overlay::test_distressed_requires_both_cp4c_calculator_records; junit:caos.tests.test_methodology_execution::test_distressed_completion_requires_numeric_funding_gap_and_recovery; junit:caos.tests.test_runtime_calculations::test_incomplete_core_calculation_ends_the_run_as_a_model_failure_not_evidence_insufficiency; junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_annual_report_refuses_at_the_source_gate; junit:caos.tests.spec.test_simulations_spec::test_sim_003_kill_during_the_provider_call_never_spends_again_on_resume,retained suite - no action,"No route carries a forward dependency and the executed node order equals the compiled route on every corpus route; missing blocking inputs are typed refusals: an absent CP-4C calculator record refuses the Distressed effect, an incomplete core calculation fails the run, an absent annual report refuses at the source gate, and a failed sibling leaves dependants pending/cancelled, never running."
RUN-011,RUN,Test route compilation and execution,Keep optional or limited upstream states explicit in the output,PASS,junit:caos.tests.test_runtime_calculations::test_incomplete_non_core_calculation_completes_the_module_as_a_declared_limitation; junit:caos.tests.test_runtime_calculations::test_provider_cannot_forge_a_host_limitation_flag; junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_forecast_source_is_a_typed_model_refusal_never_a_default; junit:caos.tests.spec.test_source_complete_modelling_spec::test_market_marks_dated_before_the_latest_reported_period_are_a_named_limitation; junit:caos.tests.spec.test_source_complete_modelling_spec::test_relative_value_without_a_pinned_workbook_names_the_missing_marks; junit:caos.tests.spec.test_source_complete_modelling_spec::test_deep_research_without_a_full_credit_model_declares_no_numeric_effect; junit:caos.tests.spec.test_source_complete_modelling_spec::test_screen_depth_reads_as_a_depth_precondition_not_as_corruption,retained suite - no action,"An incomplete non-core calculator is absent from the pinned records and present in host-derived calculation_limitations / limitation_flags; a missing forecast driver is UNAVAILABLE with a gap code; stale marks, a missing workbook, a missing base model and screen depth are named limitations or typed preconditions, never silent defaults."
RUN-012,RUN,Test route compilation and execution,Reuse an existing valid fingerprint with zero provider calls and byte-identical artifact linkage,PASS,junit:caos.tests.spec.test_runs_spec::test_crash_between_store_commit_and_checkpoint_write_yields_one_artifact_one_charge; junit:caos.tests.spec.test_simulations_spec::test_sim_022_absent_checkpoint_recovers_from_domain_truth_without_re_executing_finished_modules; junit:caos.tests.spec.test_simulations_spec::test_sim_001_kill_before_any_provider_call_leaves_no_reservation_and_recovers_once; junit:caos.tests.spec.test_simulations_spec::test_sim_030_a_restart_loop_during_active_work_recovers_idempotently_and_bounded; junit:caos.tests.spec.test_runs_spec::test_worker_killed_mid_run_resumes_from_last_checkpoint_not_restart; junit:caos.tests.spec.test_runs_spec::test_replacing_an_invalid_artifact_relinks_the_succeeded_node,retained suite - no action,"Reuse-first recovery relinks the committed artifact: one artifact and one charge after a commit-gap crash; finished modules keep their (module, digest) pairs with execution count 1 and budget turns == provider calls (zero calls for the reused modules); the succeeded node follows the artifact id it is linked to."
RUN-013,RUN,Test route compilation and execution,"Reject a reused artifact whose bytes, identity, schema, citations, or lineage no longer validate",PASS,junit:caos.tests.spec.test_runs_spec::test_replacing_an_invalid_artifact_relinks_the_succeeded_node; junit:caos.tests.spec.test_runs_spec::test_run_store_copies_one_provider_identity_through_run_artifact_snapshot_and_events; junit:caos.tests.spec.test_runs_spec::test_artifact_verifier_rejects_row_relocation_and_index_drift; junit:caos.tests.spec.test_runs_spec::test_complete_node_rejects_invalid_or_unbounded_artifact_payloads; junit:caos.tests.spec.test_runs_spec::test_reuse_relink_on_resume_revalidates_live_sources; junit:caos.tests.spec.test_runs_spec::test_placeholder_artifact_cannot_relink_after_restart_without_test_capability; junit:caos.tests.spec.test_runs_spec::test_artifact_read_revalidates_payload_provider_identity; junit:caos.tests.spec.test_runs_spec::test_recovery_rejects_changed_or_legacy_missing_agent_identity_before_provider_contact,retained suite - no action,"find_valid_artifact returns None when the stored digest, the provider identity or the fingerprint no longer verifies; invalid or unbounded payloads are refused at completion; a reuse relink re-checks live sources and fails on a withdrawal; a changed or missing agent identity is refused before provider contact."
RUN-014,RUN,Test route compilation and execution,Resume from the last durable checkpoint after process restart,PASS,junit:caos.tests.spec.test_runs_spec::test_worker_killed_mid_run_resumes_from_last_checkpoint_not_restart; junit:caos.tests.spec.test_simulations_spec::test_sim_030_a_restart_loop_during_active_work_recovers_idempotently_and_bounded; junit:caos.tests.spec.test_research_spec::test_brief_plan_and_approval_survive_restart_and_resume_only_the_approved_plan; junit:caos.tests.spec.test_research_spec::test_recovery_resumes_a_run_approved_before_the_crash; junit:caos.tests.spec.test_intake_spec::test_the_intake_and_its_run_survive_a_process_restart; artifact:gates/stack/stack-gates.txt,retained suite - no action,A fresh Engine over the same checkpoint database recovers and completes without re-executing finished modules; the research gate survives restart; on the built image a hard kill of app and worker was followed by health in 11 s with recovery.started over 6 runs and identical row counts before and after.
RUN-015,RUN,Test route compilation and execution,Never restart completed nodes during resume,PASS,junit:caos.tests.spec.test_runs_spec::test_worker_killed_mid_run_resumes_from_last_checkpoint_not_restart; junit:caos.tests.spec.test_simulations_spec::test_sim_022_absent_checkpoint_recovers_from_domain_truth_without_re_executing_finished_modules; junit:caos.tests.spec.test_simulations_spec::test_sim_030_a_restart_loop_during_active_work_recovers_idempotently_and_bounded; junit:caos.tests.spec.test_runs_spec::test_crash_between_store_commit_and_checkpoint_write_yields_one_artifact_one_charge,retained suite - no action,"Execution count of every finished module stays 1 across a restart, across a restart loop of one kill per module, and even when the checkpoint file is absent."
RUN-016,RUN,Test route compilation and execution,Emit exactly one terminal run state and one terminal event,PASS,junit:caos.tests.spec.test_runs_spec::test_event_log_is_per_run_monotonic_with_legacy_names_and_single_terminal; junit:caos.tests.spec.test_runs_spec::test_crash_between_store_commit_and_checkpoint_write_yields_one_artifact_one_charge; junit:caos.tests.spec.test_simulations_spec::test_sim_003_kill_during_the_provider_call_never_spends_again_on_resume; junit:caos.tests.spec.test_simulations_spec::test_sim_006_kill_during_final_validation_never_commits_success_twice_or_past_the_ceiling; junit:caos.tests.test_finalization_metering::test_within_budget_success_commit_lands_once_inside_the_deadline; junit:caos.tests.test_finalization_metering::test_success_commit_that_would_breach_the_ceiling_never_lands; junit:caos.tests.spec.test_runs_spec::test_a_terminal_failure_leaves_no_node_claiming_in_flight_work,retained suite - no action,run.succeeded appears exactly once; a failed resume ends with exactly [run.failed]; a dying final validation commits no success and the retry commits it once; a breaching commit never lands.
RUN-017,RUN,Test route compilation and execution,"Keep event IDs ordered, durable, resumable, and case-scoped",PASS,junit:caos.tests.spec.test_runs_spec::test_event_log_is_per_run_monotonic_with_legacy_names_and_single_terminal; junit:caos.tests.test_postgres_races::test_event_sequence_allocation_serializes_two_writers_on_one_run; junit:caos.tests.spec.test_simulations_spec::test_sim_027_a_wall_clock_jump_never_reorders_events_or_charges_time_twice; junit:caos.tests.spec.test_runs_spec::test_terminal_run_deletes_checkpoints_after_domain_audit_is_durable; junit:caos.tests.spec.test_http_contracts_spec::test_run_events_sse_tails_the_event_log_with_last_event_id_resume; junit:caos.tests.spec.test_misc_spec::test_unknown_and_foreign_runs_have_the_same_404_envelope_and_lookup_class; artifact:gates/sec-audit.txt,retained suite - no action,"Event ids are a per-run monotonic, gap-free seq allocated under the run-row lock on PostgreSQL, ordered by seq not by clock, durable past checkpoint deletion and resumable by id. Scope: the seq is per run and the run is case-bound; the events route resolves run -> case -> membership (same 404 for unknown and foreign runs; 59 routes x 9 actors, 0 failures)."
RUN-018,RUN,Test route compilation and execution,Return missed Server-Sent Events from `Last-Event-ID` without duplication,PASS,junit:caos.tests.spec.test_http_contracts_spec::test_run_events_sse_tails_the_event_log_with_last_event_id_resume; junit:caos.tests.spec.test_runs_spec::test_event_log_is_per_run_monotonic_with_legacy_names_and_single_terminal; junit:caos.tests.spec.test_misc_spec::test_concurrent_stream_slots_are_capped_and_always_returned,retained suite - no action,A reconnect with Last-Event-ID = the penultimate id receives exactly the final frame and nothing before it; a fully delivered terminal tail closes; events_after(last) is empty.
RUN-019,RUN,Test route compilation and execution,Exclude human gate wait time from active execution budget,PASS,junit:caos.tests.spec.test_budget_spec::test_gate_wait_accrues_zero_active_time_while_compute_is_charged; junit:caos.tests.spec.test_observability_spec::test_the_gate_interrupt_is_logged_when_raised_and_when_resolved,retained suite - no action,An hour parked at the entry-gate interrupt under a fake clock accrues active_minutes == 0. Proven on the source-set gate; the Deep Research plan-approval wait is not separately asserted.
RUN-020,RUN,Test route compilation and execution,"Charge failed model, evidence, validation, repair, and finalization work to the correct budget",PASS,junit:caos.tests.test_finalization_metering::test_every_step_in_the_node_sequence_is_wrapped_by_the_timed_bracket; junit:caos.tests.test_finalization_metering::test_slow_render_is_charged_before_artifact_completion; junit:caos.tests.test_finalization_metering::test_throwing_host_operations_charge_active_time; junit:caos.tests.test_finalization_metering::test_slow_atomic_completion_crosses_ceiling_and_cannot_succeed; junit:caos.tests.test_finalization_metering::test_final_validation_is_charged_before_run_success; junit:caos.tests.spec.test_budget_spec::test_reconcile_commits_the_actual_usage_before_it_refuses_the_overage; junit:caos.tests.spec.test_budget_spec::test_actual_usage_overage_still_records_the_returned_response; junit:caos.tests.spec.test_budget_spec::test_max_tokens_truncation_fails_module_immediately_without_consuming_repair; junit:caos.tests.spec.test_budget_spec::test_malformed_or_zero_usage_is_output_invalid_with_reservation_unresolved; junit:caos.tests.spec.test_evidence_spec::test_an_unbounded_read_loop_is_stopped_by_the_run_evidence_read_ceiling; junit:caos.tests.spec.test_evidence_spec::test_ceiling_rejected_read_leaves_no_citation_expectation; junit:caos.tests.spec.test_injection_spec::test_document_cannot_buy_an_answer_with_no_supplied_evidence; junit:caos.tests.spec.test_simulations_spec::test_sim_004_kill_after_the_response_before_the_artifact_commit_yields_one_artifact,retained suite - no action,"Every loop step (count, create, evidence read, parse/validate, reuse validation, completion write, final verification) is inside a timed bracket; throwing host operations and slow validation are charged to active_minutes; actual provider usage is committed to tokens even when it breaches; a truncation never consumes the repair while a real repair does; evidence reads are charged to evidence_reads/bytes; a lost response is on the ledger exactly once."
RUN-021,RUN,Test route compilation and execution,Reserve budget before every provider call and refuse before overspend,PASS,junit:caos.tests.spec.test_budget_spec::test_no_provider_call_without_a_successful_reservation; junit:caos.tests.spec.test_budget_spec::test_each_ceiling_refuses_the_next_operation_before_overspend; junit:caos.tests.test_postgres_races::test_budget_reserve_race_has_one_reservation_and_one_typed_refusal; junit:caos.tests.test_postgres_races::test_budget_charge_race_refuses_the_ceiling_before_overspend; junit:caos.tests.spec.test_limits_spec::test_manifest_above_the_ceiling_fails_the_run_typed_with_no_provider_call; junit:caos.tests.spec.test_budget_spec::test_provider_concurrency_denial_is_typed_and_reserves_nothing,retained suite - no action,A failed reservation ends the run AGENT_BUDGET_EXCEEDED with zero provider requests; each of the six dimensions refuses the next operation with used <= limit; two PostgreSQL writers get one reservation and one typed refusal.
RUN-022,RUN,Test route compilation and execution,Fail a resumed run with unresolved in-flight provider spend rather than spending twice,PASS,junit:caos.tests.spec.test_budget_spec::test_unresolved_inflight_reservation_fails_closed_on_resume_without_respend; junit:caos.tests.spec.test_simulations_spec::test_sim_003_kill_during_the_provider_call_never_spends_again_on_resume; junit:caos.tests.test_postgres_races::test_budget_reconcile_race_applies_the_true_up_exactly_once,retained suite - no action,A persisted in-flight digest with unknown spend fails the resumed run AGENT_BUDGET_EXCEEDED with the provider call count unchanged and the digest retained as the record of the unknown.
RUN-023,RUN,Test route compilation and execution,"Enforce active-job, stream, preview, tool-call, retry, repair, token, artifact, and active-time ceilings",PASS,junit:caos.tests.spec.test_limits_spec::test_active_job_ceiling_refuses_the_twenty_first_before_any_reservation; junit:caos.tests.spec.test_runs_spec::test_admission_ceiling_is_derived_and_capacity_returns_on_completion; junit:caos.tests.spec.test_limits_spec::test_stream_ceiling_at_and_above_is_per_subject_and_returned; junit:caos.tests.spec.test_limits_spec::test_preview_ceiling_at_and_above_is_per_subject_and_returned; junit:caos.tests.spec.test_evidence_spec::test_an_unbounded_read_loop_is_stopped_by_the_run_evidence_read_ceiling; junit:caos.tests.spec.test_evidence_spec::test_module_delivers_at_most_the_canonical_reference_limit; junit:caos.tests.spec.test_budget_spec::test_timeout_retry_must_be_byte_identical_and_single; junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded; junit:caos.tests.test_runtime_calculations::test_incomplete_calculation_may_be_retried_once_as_the_module_repair; junit:caos.tests.spec.test_injection_spec::test_document_cannot_buy_an_answer_with_no_supplied_evidence; junit:caos.tests.spec.test_budget_spec::test_each_ceiling_refuses_the_next_operation_before_overspend; junit:caos.tests.spec.test_budget_spec::test_registry_output_caps_literal; junit:caos.tests.spec.test_runs_spec::test_complete_node_rejects_invalid_or_unbounded_artifact_payloads; junit:caos.tests.spec.test_budget_spec::test_attempt_recorder_allowlist_truncation_and_asymmetric_caps; junit:caos.tests.test_finalization_metering::test_success_commit_that_would_breach_the_ceiling_never_lands; artifact:gates/stack/capacity-limits.json,retained suite - no action,"Active jobs (20, in-process and over HTTP with ADMISSION_BUSY), streams (4) and previews (2) per subject, tool calls (evidence reads per module and per run, refs per module), retry (one byte-identical timeout retry then AGENT_PROVIDER_TIMEOUT), repair (one), tokens (input/output ceilings, per-module output caps, truncation), artifact size/shape and active time are each refused at/above their ceiling. The 32 MiB request ceiling is Caddy's and was NOT_EXERCISED over HTTP (no --edge-url)."
RUN-024,RUN,Test route compilation and execution,Upgrade a screen result by creating a linked new full run after validated output and explicit confirmation,OPEN,junit:caos.tests.spec.test_runs_spec::test_run_pinned_to_immutable_source_set_and_upgrade_links_origin; junit:caos.tests.spec.test_misc_spec::test_read_only_member_cannot_upgrade_a_run; junit:caos.tests.spec.test_runs_spec::test_case_reader_cannot_start_or_upgrade_and_outsiders_see_nothing,engine owner (Engine.upgrade) with the decision owner,"Proven: an explicit upgrade of an accepted screen run creates a new full run carrying upgraded_from_run_id, and readers/outsiders cannot upgrade. Not proven: 'after validated output' is not enforced - Engine.upgrade starts a full run for any run id without checking the origin's status or acceptance, and no retained test asserts an unvalidated (failed, running or unaccepted) screen run is refused for upgrade."
RUN-025,RUN,Test route compilation and execution,Never mutate the profile or history of the source screen run during upgrade,OPEN,junit:caos.tests.spec.test_runs_spec::test_run_pinned_to_immutable_source_set_and_upgrade_links_origin,engine test owner (spec/test_runs_spec.py),"Engine.upgrade only reads the origin run (case, pathway) and starts a new run; no retained test asserts the origin screen run's plan, plan_digest, status, events, artifacts and accepted snapshot are byte-identical before and after the upgrade."
RUN-026,RUN,Test route compilation and execution,"Accept only a succeeded, fully revalidated run",PASS,junit:caos.tests.spec.test_runs_spec::test_snapshot_rejects_forged_succeeded_run; junit:caos.tests.spec.test_runs_spec::test_acceptance_rejects_source_content_changed_without_a_new_source_set; junit:caos.tests.spec.test_runs_spec::test_acceptance_rejects_corrupted_uploaded_source_bytes; junit:caos.tests.spec.test_runs_spec::test_non_mapping_artifact_payload_fails_closed_at_finalization_and_acceptance; junit:caos.tests.spec.test_runs_spec::test_snapshot_acceptance_refuses_when_cp5_reports_blocked; junit:caos.tests.spec.test_runs_spec::test_acceptance_refuses_a_source_withdrawn_after_run_completion; junit:caos.tests.spec.test_runs_spec::test_a_legacy_succeeded_agent_run_cannot_gain_new_acceptance_authority; junit:caos.tests.spec.test_runs_spec::test_succeeded_placeholder_run_cannot_be_newly_accepted_after_restart; junit:caos.tests.test_finalization_metering::test_success_commit_that_would_breach_the_ceiling_never_lands; junit:caos.tests.spec.test_source_complete_modelling_spec::test_an_overlay_effect_is_rebuilt_from_the_records_it_names_and_refuses_a_forged_one; junit:caos.tests.test_host_control_provider::test_host_control_provider_completes_an_ordinary_run_that_can_be_accepted,retained suite - no action,"Acceptance re-verifies every artifact digest, payload shape, QA status, provider identity, calculation records, the pinned source content and the vault bytes, and refuses a failed, forged, blocked, withdrawn or legacy-identity run (RUN_NOT_READY / SOURCE_SET_CHANGED / AGENT_AUTHORITY_MISMATCH)."
RUN-027,RUN,Test route compilation and execution,Atomically create the immutable snapshot and update the accepted pointer,PASS,junit:caos.tests.spec.test_runs_spec::test_acceptance_rolls_back_snapshot_both_pointers_and_audit_as_one_unit; junit:caos.tests.spec.test_runs_spec::test_acceptance_is_idempotent_and_updates_case_and_run_together; junit:caos.tests.test_postgres_races::test_snapshot_acceptance_race_moves_the_case_and_run_pointers_once; junit:caos.tests.spec.test_runs_spec::test_run_store_copies_one_provider_identity_through_run_artifact_snapshot_and_events,retained suite - no action,"An injected failure on the snapshot.accepted audit leaves no snapshot, both pointers null and no audit row; the retry accepts once; two PostgreSQL connections move the case and run pointers once with SNAPSHOT_AUTHORITY_CHANGED for the loser; the snapshot digest is content-addressed."
RUN-028,RUN,Test route compilation and execution,Make repeated acceptance idempotent,PASS,junit:caos.tests.spec.test_runs_spec::test_acceptance_is_idempotent_and_updates_case_and_run_together; junit:caos.tests.test_postgres_races::test_disconnect_after_an_acknowledged_write_is_resolved_by_idempotent_retry; junit:caos.tests.test_postgres_races::test_snapshot_acceptance_race_moves_the_case_and_run_pointers_once,retained suite - no action,A second accept returns the same snapshot id and the case pointer is unchanged; a retry after a dropped connection resolves to the committed snapshot (typed RUN_NOT_READY with the snapshot in place).
RUN-029,RUN,Test route compilation and execution,Show snapshot drift and require an explicit switch to a newer accepted snapshot,PASS,junit:caos.tests.spec.test_misc_spec::test_newer_accepted_run_sets_switch_required_until_explicit_switch; junit:caos.tests.spec.test_http_contracts_spec::test_snapshot_diff_entries_are_module_id_and_digest_only,retained suite - no action,"With an older visible snapshot and a newer accepted one, snapshot_view reports switch_required = True until an explicit switch_visible to the newer snapshot; the diff wire shape is pinned."
RUN-030,RUN,Test route compilation and execution,"Produce identical host-validated screen identity for identical pinned inputs and build: the plan digest, source pins, calculation records (canonical input and output digests), and the canonical envelope are byte-equal across replays; provider prose is compared by validated canonical contract, as AUD-019 requires (`docs/DECISIONS.md` §14.3, §14.12)",PASS,junit:caos.tests.spec.test_runs_spec::test_replay_from_same_pinned_sources_and_build_is_equivalent_by_the_same_path; junit:caos.tests.spec.test_research_spec::test_replay_from_the_same_pins_and_brief_proposes_the_same_plan_by_the_same_path; junit:caos.tests.spec.test_state_spec::test_single_time_authority_survives_a_day_boundary; junit:caos.tests.test_methodology_execution::test_static_allowlist_and_credit_metrics_execute_with_exact_digests; junit:caos.tests.test_bundle::test_plan_digest_pins_source_set_identity,retained suite - no action,"Two runs from the same pins and build share plan_digest and path; every payload key except the run-identity chain (artifact_identity, lineage) is byte-equal - evidence_refs, provenance, authority, methodology, confidence and any calculation records the payload carries - and the markdown is byte-equal (stricter than the canonical-contract comparison AUD-019 allows); calculator records reproduce exact input/output digests. Weak point: the replay test runs FULL_CREDIT at screen depth under the scripted spec provider; no retained full-depth host-control replay compares two runs' calculation-record digests."
MOD-001,MOD,Qualify every provider and model,Hide every model that lacks a current qualification result for the candidate build,PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; The catalog is one binding; a binding without a QUALIFIED verdict is never served in production (Task 5). Live: BLOCKED EXTERNAL until the live matrix passes."
MOD-002,MOD,Qualify every provider and model,"Pin the exact provider, model ID, provider-reported version when available, parameters, and adapter version at run start",PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; Result field binding: provider_name, model, provider_version, adapter_version, parameter_context_digest, identity_digest."
MOD-003,MOD,Qualify every provider and model,"Record the active provider and model, never a default from another adapter",PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; run.py::build_provider already refuses dual credentials."
MOD-004,MOD,Qualify every provider and model,Run three cold repetitions for every agent-backed matrix cell,PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; Host control runs one repetition by default (`--repetitions` overrides); the live policy is three."
MOD-005,MOD,Qualify every provider and model,"Require every repetition to pass schema, evidence, citation, budget, security, and audit gates",PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; Schema and audit gates are host-enforced (invariant 9; audit chain) and surface as run refusals in the outcome dimension."
MOD-006,MOD,Qualify every provider and model,Compare model conclusions to the pack's permitted and forbidden conclusions,PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; Draft keys are host-control attested; analyst approval is BLOCKED EXTERNAL (C17–C22 also need benchmark conclusions)."
MOD-007,MOD,Qualify every provider and model,Require 100% citation resolution and 0 unsupported material claims in accepted output,PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; Canonical model-table modules are exempt only under host control (fixture tables; recorded per result as exempt_modules); live runs exempt nothing."
MOD-008,MOD,Qualify every provider and model,"Require 100% traceability for numbers, units, currencies, periods, and definitions",PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; Units/currency/period are fields on every expected fact and are compared by match string against the cited block."
MOD-009,MOD,Qualify every provider and model,"Require all methodology registers, headings, frontmatter, and bounded fields",PASS,artifact:gates/qualification/host-control-verdict.txt,,"runtime contract proven by the retained suite: Host: canonical envelope validation (invariant 9, test_modules_spec); harness: outcome dimension fails on AGENT_OUTPUT_INVALID"
MOD-010,MOD,Qualify every provider and model,Require explicit gaps when evidence is missing or conflicted,PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; "
MOD-011,MOD,Qualify every provider and model,Require the strongest supported counterargument and the condition under which it wins,BLOCKED EXTERNAL,artifact:gates/qualification/host-control-verdict.txt,independent credit analysts (benchmark conclusions for C17/C21/C22),Requires the independently authored conclusions (owner: independent analyst).
MOD-012,MOD,Qualify every provider and model,"Require downside reasoning to identify cause, first break, transmission, consequence, and observable trigger",BLOCKED EXTERNAL,artifact:gates/qualification/host-control-verdict.txt,independent credit analysts (benchmark conclusions for C17/C21/C22),Requires the independently authored conclusions (owner: independent analyst).
MOD-013,MOD,Qualify every provider and model,"Prevent a model from changing host-owned identity, quality status, confidence inputs, or authority fields",PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; Live C12 cell exercises the exact provider path when credentials exist (BLOCKED EXTERNAL today)."
MOD-014,MOD,Qualify every provider and model,Prevent a model from invoking undeclared tools or tool arguments,PROVED HOST CONTROL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/host-control-matrix.txt,enterprise test owner (live credential) / model risk,"host-control matrix on the candidate: 32 pass, 5 BLOCKED EXTERNAL, verdict ORCHESTRATION_PROOF_INCOMPLETE; "
MOD-015,MOD,Qualify every provider and model,Reject mixed text and tool output where the provider contract permits only one action,PASS,junit-module:caos.tests.test_provider_tools,,runtime contract proven by the retained suite: Runtime loop contract (engine/loop.py; test_provider_tools.py); harness outcome dimension surfaces the refusal
MOD-016,MOD,Qualify every provider and model,"Reject truncated, duplicate-key, non-finite, oversized, extra-field, or malformed final output",PASS,artifact:gates/qualification/host-control-verdict.txt,,"runtime contract proven by the retained suite: Runtime canonical envelope (invariant 9; test_modules_spec, test_injection_spec smuggled fields); harness outcome dimension"
MOD-017,MOD,Qualify every provider and model,Permit one bounded repair only where the contract allows it and disable evidence tools during repair,PASS,junit-module:caos.tests.test_runtime_calculations,,runtime contract proven by the retained suite: Runtime repair allowance (runtime.py repair_state; test_runtime_calculations.py); harness records provider_calls per run
